Processo,Detalhe,Tools,Consultado,Informado,Período
Conciliação bancária diária,,,,,Diário
Conferência de caixa (POS),,,,,Diário
Aprovação de despesas < limite,,,,,Diário
Lançamento de recebimentos Airbnb/OTA,,,,,Diário
Monitoramento de chargebacks,,,,,Diário
Fechamento de caixa diário,,,,,Diário
Revisão alertas sistema pagamentos,,,,,Diário
Processamento ACH / wire incoming,,,,,Diário
Fechamento contábil mensal,,,,,Mensal
Reconciliação cartões de crédito corporativos,,,,,Mensal
Consolidação contas a pagar,,,,,Mensal
Consolidação contas a receber,,,,,Mensal
Provisão de impostos (sales / tourist),,,,,Mensal
Relatório P&L por unidade,,,,,Mensal
Relatório por condomínio / community,,,,,Mensal
Depreciação e ativos fixos,,,,,Mensal
Conciliação intercompany MVH / HOPM,,,,,Mensal
Rollforward de saldos GL,,,,,Mensal
Revisão prepaid / deferred revenue,,,,,Mensal
Cálculo comissões agências,,,,,Mensal
Processamento folha (payroll),,,,,Mensal
Benefícios e encargos,,,,,Mensal
Auditoria interna amostral AP,,,,,Mensal
Auditoria interna amostral AR,,,,,Mensal
Backup e retenção documentos fiscais,,,,,Mensal
Abertura de novo fornecedor (KYC),,,,,Demanda
Abertura de nova conta bancária,,,,,Demanda
Alteração limite cartão corporativo,,,,,Demanda
Contrato ou aditivo significativo,,,,,Demanda
Financiamento / renovação empréstimo,,,,,Demanda
Aquisição ou venda de ativo (veículo / equip.),,,,,Demanda
Projeto de reforma (CAPEX),,,,,Demanda
Due diligence M&A ou joint venture,,,,,Demanda
Implementação novo ERP / módulo,,,,,Demanda
Mudança política contábil (GAAP),,,,,Demanda
Resposta a auditor externo (PBC),,,,,Demanda
Submissão formulários IRS / state,,,,,Demanda
Preparação 1099 / NEC,,,,,Demanda
Preparação information return owners,,,,,Demanda
Seguro propriedade / liability renewal,,,,,Demanda
Licenças county / city (STR),,,,,Demanda
Resolução disputa com inquilino (valor material),,,,,Demanda
Claim sinistro (property damage),,,,,Demanda
Reclassificação lançamento material,,,,,Demanda
Ajuste pós-fechamento (material),,,,,Demanda
